date,dji,djit
24JAN1958,450.66,
27JAN1958,448.46,
28JAN1958,448.67,
29JAN1958,451.16,
30JAN1958,449.72,
31JAN1958,450.02,
03FEB1958,453.98,
04FEB1958,458.65,
05FEB1958,454.89,
06FEB1958,453.13,
07FEB1958,448.76,
10FEB1958,445.94,
11FEB1958,442.35,
12FEB1958,441.21,
13FEB1958,440.24,
14FEB1958,444.44,
17FEB1958,442.27,
18FEB1958,442.71,
19FEB1958,443.06,
20FEB1958,439.74,
21FEB1958,439.62,
24FEB1958,437.19,
25FEB1958,436.89,
26FEB1958,440.42,
27FEB1958,437.8,
28FEB1958,439.92,
03MAR1958,443.38,
04MAR1958,445.06,
05MAR1958,446.58,
06MAR1958,450.96,
07MAR1958,451.49,
10MAR1958,451.9,
11MAR1958,455.92,
12MAR1958,454.6,
13MAR1958,454.1,
14MAR1958,453.04,
17MAR1958,448.23,
18MAR1958,447.38,
19MAR1958,449.96,
20MAR1958,449.46,
21MAR1958,452.49,
24MAR1958,453.75,
25MAR1958,450.96,
26MAR1958,449.7,
27MAR1958,448.64,
28MAR1958,448.61,
31MAR1958,446.76,
01APR1958,445.47,
02APR1958,441.21,
03APR1958,440.5,
07APR1958,440.09,
08APR1958,442.59,
09APR1958,441.88,
10APR1958,441.06,
11APR1958,441.24,
14APR1958,443.76,
15APR1958,447.58,
16APR1958,444.35,
17APR1958,445.09,
18APR1958,449.31,
21APR1958,450.72,
22APR1958,449.55,
23APR1958,450.11,
24APR1958,453.42,
25APR1958,454.92,
28APR1958,454.51,
29APR1958,451.78,
30APR1958,455.86,
01MAY1958,457.01,
02MAY1958,459.56,
05MAY1958,461.12,
06MAY1958,463.67,
07MAY1958,462.88,
08MAY1958,462.5,
09MAY1958,462.56,
12MAY1958,460.74,
13MAY1958,459.86,
14MAY1958,455.45,
15MAY1958,457.86,
16MAY1958,457.1,
19MAY1958,455.98,
20MAY1958,459.83,
21MAY1958,458.5,
22MAY1958,460.24,
23MAY1958,461.03,
26MAY1958,461.06,
27MAY1958,460.68,
28MAY1958,460.44,
29MAY1958,462.7,
02JUN1958,466.11,
03JUN1958,468.14,
04JUN1958,468.58,
05JUN1958,468.55,
06JUN1958,469.6,
09JUN1958,469.46,
10JUN1958,468.19,
11JUN1958,467.93,
12JUN1958,471.42,
13JUN1958,474.77,
16JUN1958,476.56,
17JUN1958,478.97,
18JUN1958,476.65,
19JUN1958,471.57,
20JUN1958,473.6,
23JUN1958,471.66,
24JUN1958,470.43,
25JUN1958,471.54,
26JUN1958,474.01,
27JUN1958,475.42,
30JUN1958,478.18,
01JUL1958,478.82,
02JUL1958,480.15,
03JUL1958,480.17,
07JUL1958,481.85,
08JUL1958,480,
09JUL1958,477.59,
10JUL1958,478.97,
11JUL1958,482.85,
14JUL1958,476.89,
15JUL1958,478.82,
16JUL1958,481,
17JUL1958,485.7,
18JUL1958,486.55,
21JUL1958,493.36,
22JUL1958,494.89,
23JUL1958,494.06,
24JUL1958,497.12,
25JUL1958,501.76,
28JUL1958,502.81,
29JUL1958,501.38,
30JUL1958,504.37,
31JUL1958,502.99,
01AUG1958,505.43,
04AUG1958,510.33,
05AUG1958,506.95,
06AUG1958,503.11,
07AUG1958,506.1,
08AUG1958,510.13,
11AUG1958,512.42,
12AUG1958,508.19,
13AUG1958,509.22,
14AUG1958,510.3,
15AUG1958,506.13,
18AUG1958,502.67,
19AUG1958,503.64,
20AUG1958,503.96,
21AUG1958,507.1,
22AUG1958,508.28,
25AUG1958,508.28,
26AUG1958,509.63,
27AUG1958,510.39,
28AUG1958,507.72,
29AUG1958,508.63,
02SEP1958,511.77,
03SEP1958,513.71,
04SEP1958,513.44,
05SEP1958,512.77,
08SEP1958,515.23,
09SEP1958,518.64,
10SEP1958,516.2,
11SEP1958,520.43,
12SEP1958,519.43,
15SEP1958,523.4,
16SEP1958,526.57,
17SEP1958,525.89,
18SEP1958,522.34,
19SEP1958,526.48,
22SEP1958,524.01,
23SEP1958,525.89,
24SEP1958,528.15,
25SEP1958,525.83,
26SEP1958,526.83,
29SEP1958,529.04,
30SEP1958,532.09,
01OCT1958,530.94,
02OCT1958,532.09,
03OCT1958,533.73,
06OCT1958,536.29,
07OCT1958,539.4,
08OCT1958,539.31,
09OCT1958,539.61,
10OCT1958,543.36,
13OCT1958,545.95,
14OCT1958,541.72,
15OCT1958,536.14,
16OCT1958,540.11,
17OCT1958,546.36,
20OCT1958,544.19,
21OCT1958,543.72,
22OCT1958,542.31,
23OCT1958,540.72,
24OCT1958,539.52,
27OCT1958,535,
28OCT1958,536.88,
29OCT1958,542.72,
30OCT1958,543.31,
31OCT1958,543.22,
03NOV1958,545.16,
05NOV1958,550.68,
06NOV1958,554.85,
07NOV1958,554.26,
10NOV1958,557.72,
11NOV1958,561.13,
12NOV1958,562.39,
13NOV1958,560.75,
14NOV1958,564.68,
17NOV1958,567.44,
18NOV1958,564.89,
19NOV1958,565.97,
20NOV1958,566.24,
21NOV1958,559.57,
24NOV1958,544.89,
25NOV1958,540.52,
26NOV1958,549.15,
28NOV1958,557.46,
01DEC1958,560.07,
02DEC1958,558.57,
03DEC1958,558.81,
04DEC1958,559.1,
05DEC1958,556.75,
08DEC1958,556.08,
09DEC1958,558.13,
10DEC1958,564.98,
11DEC1958,563.07,
12DEC1958,562.27,
15DEC1958,563.98,
16DEC1958,565.18,
17DEC1958,569.38,
18DEC1958,572.38,
19DEC1958,573.17,
22DEC1958,571.23,
23DEC1958,566.39,
24DEC1958,572.73,
29DEC1958,577.31,
30DEC1958,581.8,
31DEC1958,583.65,
02JAN1959,587.59,
05JAN1959,590.17,
06JAN1959,591.37,
07JAN1959,583.15,
08JAN1959,588.14,
09JAN1959,592.72,
12JAN1959,592.64,
13JAN1959,590.7,
14JAN1959,591.64,
15JAN1959,594.81,
16JAN1959,595.75,
19JAN1959,594.4,
20JAN1959,595.69,
21JAN1959,597.66,
22JAN1959,595.69,
23JAN1959,596.07,
26JAN1959,592.37,
27JAN1959,594.66,
28JAN1959,588.53,
29JAN1959,590.4,
30JAN1959,593.96,
02FEB1959,592.23,
03FEB1959,592.34,
04FEB1959,589.38,
05FEB1959,586.12,
06FEB1959,582.33,
09FEB1959,574.46,
10FEB1959,582.65,
11FEB1959,584.03,
12FEB1959,581.89,
13FEB1959,587.97,
16FEB1959,587.91,
17FEB1959,586.71,
18FEB1959,588.82,
19FEB1959,595.04,
20FEB1959,602.21,
24FEB1959,602.91,
25FEB1959,601.18,
26FEB1959,602,
27FEB1959,603.5,
02MAR1959,605.03,
03MAR1959,610.78,
04MAR1959,611.84,
05MAR1959,611.87,
06MAR1959,609.52,
09MAR1959,609.96,
10MAR1959,611.14,
11MAR1959,611.49,
12MAR1959,613.75,
13MAR1959,614.69,
16MAR1959,607.88,
17MAR1959,612.69,
18MAR1959,610.87,
19MAR1959,610.02,
20MAR1959,610.37,
23MAR1959,605.56,
24MAR1959,606.73,
25MAR1959,606.47,
26MAR1959,606.58,
30MAR1959,602.65,
31MAR1959,601.71,
01APR1959,602.94,
02APR1959,607.52,
03APR1959,611.93,
06APR1959,611.16,
07APR1959,610.34,
08APR1959,606.44,
09APR1959,605.5,
10APR1959,605.97,
13APR1959,607.76,
14APR1959,609.53,
15APR1959,612.5,
16APR1959,617.58,
17APR1959,624.06,
20APR1959,627.08,
21APR1959,629.23,
22APR1959,625.15,
23APR1959,623.27,
24APR1959,627.39,
27APR1959,629.87,
28APR1959,628.87,
29APR1959,625.87,
30APR1959,623.75,
01MAY1959,625.06,
04MAY1959,625.06,
05MAY1959,625.9,
06MAY1959,624.39,
07MAY1959,615.64,
08MAY1959,621.36,
11MAY1959,625.03,
12MAY1959,627.66,
13MAY1959,633.05,
14MAY1959,637.04,
15MAY1959,634.53,
18MAY1959,633.53,
19MAY1959,635.44,
20MAY1959,631.87,
21MAY1959,631.65,
22MAY1959,634.74,
25MAY1959,632.35,
26MAY1959,632.38,
27MAY1959,636.68,
28MAY1959,639.58,
29MAY1959,643.79,
01JUN1959,643.51,
02JUN1959,637.45,
